sentence_id,sentence,true_label,predicted_label,prob_negative,prob_positive,top_tokens,top_shap_values
1,The movie was very good.,positive,positive,0.0004679035,0.9995321,good | very  | was  | The  | movie ,0.453824 | 0.297963 | 0.126605 | -0.083108 | -0.081972
26,The ending was truly annoying.,negative,negative,0.99927276,0.0007272346,annoying | truly  | ending  | was  | The ,0.519404 | -0.356034 | 0.120211 | -0.049958 | 0.044868
27,I disliked this film today.,negative,negative,0.99868745,0.0013125313,disliked  | film  | today | this  | .,0.774855 | -0.218373 | -0.145977 | -0.126203 | 0.033945
28,The plot felt weak throughout.,negative,negative,0.9985102,0.0014897457,weak  | plot  | throughout | felt  | .,0.260306 | 0.187205 | -0.122939 | -0.092768 | 0.029947
29,This was a dreadful movie.,negative,negative,0.9992099,0.0007900892,dreadful  | movie | a  | This  | was ,0.680825 | -0.173402 | -0.152759 | -0.054329 | -0.050600
30,The cast gave poor performances.,negative,negative,0.9984518,0.0015481823,poor  | gave  | cast  | . | performances,0.611913 | -0.220589 | -0.144183 | 0.038861 | -0.020504
31,I hated the final scene.,negative,negative,0.99905175,0.00094827975,hated  | final  | I  | scene | the ,0.656679 | -0.199949 | -0.086476 | -0.056337 | -0.053161
32,This film felt deeply empty.,negative,negative,0.9981906,0.0018093623,empty | deeply  | film  | felt  | This ,0.636900 | -0.276933 | 0.132650 | -0.124943 | -0.119830
33,The soundtrack was very unpleasant.,negative,negative,0.9991449,0.00085502554,unpleasant | very  | soundtrack  | The  | was ,0.533028 | -0.310798 | 0.040959 | 0.036478 | -0.021543
34,The script was dumb overall.,negative,negative,0.99924564,0.00075436034,dumb  | overall | script  | was  | .,0.372289 | -0.241203 | 0.198359 | -0.090820 | 0.026729
35,I found it quite painful.,negative,negative,0.99782026,0.0021797463,painful | quite  | found  | I  | it ,0.669934 | -0.166822 | -0.107765 | -0.088223 | -0.065019
36,The movie felt stale today.,negative,negative,0.9984825,0.0015174544,stale  | today | felt  | The  | movie ,0.479322 | -0.201014 | -0.140797 | 0.055706 | 0.048590
37,This story was very dull.,negative,negative,0.99925584,0.0007441324,dull | very  | was  | . | This ,0.607693 | -0.222056 | -0.079836 | 0.037374 | -0.036856
38,The pacing worked very poorly.,negative,negative,0.99864644,0.0013536066,poorly | worked  | very  | pacing  | .,0.683504 | -0.355982 | -0.128087 | 0.057025 | 0.041617
39,I hated this movie completely.,negative,negative,0.9989526,0.0010473207,hated  | movie  | this  | I  | completely,0.763722 | -0.168060 | -0.135694 | -0.125941 | -0.077501
40,The dialogue felt flat throughout.,negative,negative,0.99849725,0.0015027899,flat  | dialogue  | throughout | felt  | .,0.219974 | 0.188695 | -0.093373 | -0.081086 | 0.030185
